id_booleen,formule_booleen
1,X <= 1.2
2,X <= 5.5
3,X <= Y
4,B
5,B
6,X <= 3.
7,X >= Y
8,X >= 500.
9,X <= 500.
10,X <= 50.
11,B
12,E == 1
13,E == 2
14,X <= 30
15,X >= 30
16,X >= 0.25
17,X >= 2
18,X <= 10
19,B
20,X >= 8.
21,X <= 1.2
22,X >= 5.5
23,X >= 100
24,B
25,B
26,B
27,B
28,B
29,!B
30,!B
31,B
32,E == 3
33,!B
34,B
35,B
36,B
37,B
38,B
39,B
40,B
41,B
42,B
43,B
44,B
45,B
46,B
47,B
48,B
49,B
50,B
51,B
52,B
53,B
54,B
55,B
56,B
57,B
58,B
59,B
60,B
61,B
62,X >= 150.
63,X >= 1500.
64,X >= 50.
65,X >= 1
66,X >= 2
67,X >= 500.
68,B
69,B
70,X >= 3
71,X >= 400.
72,X <= 3.5
73,X <= 15.
74,B
75,B
76,B
77,B
78,B
79,B
80,X >= 10
81,B
82,B
83,B
84,X >= 10
85,B
86,X >= 3
87,B
