id_regle,element_contraint,id_element_contraint,valeur_bool,Valeur_dis,valeur_reel,formule_dis,formule_reel,interdiction,autorisation,quali_information,quali_justification,quali_contrainte,package,free,id_free,is_opt,to_opt,id_to_opt,opt_min,opt_max
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,NULL,NULL,0,NULL,NULL,0,0
100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
103,implantation_alignement_6_AUT,1043,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
104,implantation_retrait_6_AUT,1045,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
105,marge_retrait_6,1505,NULL,2,2,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
106,implantation_sur_limite_7_OBL,1060,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
107,implantation_sur_limite_7_AUT,1059,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
108,implantation_retrait_7_AUT,1061,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
109,implantation_retrait_7_OBL,1062,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
110,implantation_sur_limite_7_AUT,1059,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
111,implantation_retrait_7_AUT,1061,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
112,implantation_retrait_7_OBL,1062,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
113,marge_retrait_7,1409,NULL,NULL,NULL,NULL,"max( 6 , X / 2 )",0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
114,marge_retrait_7,1409,NULL,NULL,NULL,NULL,"max( 4 , X / 2 )",0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
116,acces_batiment_dans_marge_retrait_AUT,1033,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
117,marge_recul_piscine,1506,NULL,NULL,"1,5",NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
118,implantation_sur_limite_7_AUT,1059,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
119,implantation_retrait_7_AUT,1061,TRUE,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
120,marge_retrait_7,1409,NULL,NULL,2,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
121,distance_construction_meme_propriete_avec_vue_MIN,1233,NULL,NULL,NULL,NULL,"max( 8 , X )",0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
122,distance_construction_meme_propriete_sans_vue_MIN,1236,NULL,NULL,NULL,NULL,"max( 4 , X / 2 )",0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
123,distance_construction_meme_propriete_avec_vue_MIN,1233,NULL,NULL,4,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
124,distance_construction_meme_propriete_sans_vue_MIN,1236,NULL,NULL,4,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
126,emprise_au_sol_MAX,1181,NULL,NULL,NULL,NULL,0.8 * X,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
127,hauteur_construction_plus_haut_MAX,1190,NULL,NULL,18,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
128,hauteur_construction_plus_haut_MAX,1190,NULL,NULL,18,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,0
