id_regle,condition_bool,id_condition_quali,id_condition_entree_graphique,condition_bande_constructible_min,condition_bande_constructible_max
1,NULL,NULL,1,NULL,NULL
100,B(1)ANDB(2),NULL,NULL,NULL,NULL
101,B(3),NULL,NULL,NULL,NULL
106,NULL,NULL,NULL,14,16
107,NULL,NULL,NULL,16,NULL
108,NULL,NULL,NULL,16,NULL
109,NULL,NULL,10,NULL,NULL
112,NULL,NULL,11,NULL,NULL
113,B(4),NULL,NULL,NULL,NULL
114,B(5),NULL,NULL,NULL,NULL
115,B(3),NULL,NULL,NULL,NULL
153,NULL,NULL,12,NULL,NULL
154,NULL,NULL,12,NULL,NULL
155,hauteur_installations_techniques_en_terrasse<=3.ANDretrait_installations_techniques_en_terrasse>=hauteur_installations_techniques_en_terrasse,NULL,NULL,NULL,NULL
167,NULL,NULL,14,NULL,NULL
169,NULL,1,NULL,NULL,NULL
170,NULL,1,NULL,NULL,NULL
19,NULL,NULL,5,NULL,NULL
2,NULL,NULL,1,NULL,NULL
20,NULL,NULL,5,NULL,NULL
204,NULL,NULL,13,NULL,NULL
21,NULL,NULL,5,NULL,NULL
22,NULL,NULL,5,NULL,NULL
225,B(8),NULL,NULL,NULL,NULL
226,B(9),NULL,NULL,NULL,NULL
23,NULL,NULL,5,NULL,NULL
230,B(9),NULL,NULL,NULL,NULL
231,B(9),NULL,NULL,NULL,NULL
237,B(10)ANDB(11),NULL,NULL,NULL,NULL
238,B(10)ANDB(11),NULL,NULL,NULL,NULL
239,B(10)ANDB(11),NULL,NULL,NULL,NULL
24,NULL,NULL,5,NULL,NULL
240,B(10)ANDB(11),NULL,NULL,NULL,NULL
241,B(10)ANDB(11),NULL,NULL,NULL,NULL
242,B(10)ANDB(11),NULL,NULL,NULL,NULL
243,B(10)ANDB(11),NULL,NULL,NULL,NULL
244,B(10)ANDB(11),NULL,NULL,NULL,NULL
245,B(8),NULL,NULL,NULL,NULL
246,B(9),NULL,NULL,NULL,NULL
25,NULL,NULL,5,NULL,NULL
250,B(9),NULL,NULL,NULL,NULL
251,B(9),NULL,NULL,NULL,NULL
259,B(9),NULL,NULL,NULL,NULL
26,NULL,NULL,5,NULL,NULL
260,B(9),NULL,NULL,NULL,NULL
261,B(8),NULL,NULL,NULL,NULL
262,B(9),NULL,NULL,NULL,NULL
27,NULL,NULL,5,NULL,NULL
28,NULL,NULL,5,NULL,NULL
29,NULL,NULL,5,NULL,NULL
3,NULL,NULL,1,NULL,NULL
30,NULL,NULL,5,NULL,NULL
306,B(12),NULL,NULL,NULL,NULL
307,B(12),NULL,NULL,NULL,NULL
308,B(12),NULL,NULL,NULL,NULL
309,B(12),NULL,NULL,NULL,NULL
31,NULL,NULL,5,NULL,NULL
310,B(12),NULL,NULL,NULL,NULL
311,B(12),NULL,NULL,NULL,NULL
312,B(12),NULL,NULL,NULL,NULL
