id_regle,is_exception,is_exception_mb,id_zonage,id_sujet,_is_,id__is_,_from_,id__from_,_to_,id__to_,descriptif_booleen,id_descriptif_quali
1,0,0,NULL,1,cinaspic,9,NULL,NULL,NULL,NULL,B(23),NULL
10,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,B(24),NULL
101,0,0,1,17,NULL,NULL,NULL,NULL,NULL,NULL,B(25),NULL
102,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,B(26),NULL
103,0,0,1,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
104,0,0,1,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
105,0,0,1,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
106,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,B(27),NULL
107,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,0,0,1,1,exploitation_agricole_forestiere,7,NULL,NULL,NULL,NULL,NULL,NULL
110,0,0,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,0,0,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,0,0,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,1,0,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,0,0,1,17,NULL,NULL,NULL,NULL,NULL,NULL,B(28),NULL
116,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,0,0,1,31,NULL,NULL,NULL,NULL,NULL,NULL,B(29)ANDB(30),NULL
118,0,0,1,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
119,0,0,1,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
12,0,0,1,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,0,0,1,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
121,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,1,0,NULL,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
122,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,1,0,NULL,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
123,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,1,0,NULL,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
124,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,1,0,NULL,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
126,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,1,0,NULL,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
127,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,1,0,NULL,1,cinaspic,9,NULL,NULL,NULL,NULL,NULL,NULL
128,0,0,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,B(27),NULL
13,0,0,1,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,0,0,6,1,NULL,NULL,NULL,NULL,NULL,NULL,B(27),NULL
131,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,B(27),NULL
132,0,0,6,1,NULL,NULL,NULL,NULL,NULL,NULL,B(27),NULL
133,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,B(27),NULL
134,0,0,6,1,NULL,NULL,NULL,NULL,NULL,NULL,B(27),NULL
135,0,0,5,1,NULL,NULL,NULL,NULL,NULL,NULL,B(32),NULL
