id_regle,objet_def,id_objet_def,option_def
1,NULL,,NULL
10,NULL,,NULL
100,NULL,,NULL
101,NULL,,NULL
102,NULL,,NULL
103,NULL,,NULL
104,NULL,,NULL
105,NULL,,NULL
106,NULL,,NULL
107,NULL,,NULL
108,NULL,,NULL
109,marge_retrait_7,,1
11,NULL,,NULL
110,marge_retrait_7,,1
111,marge_retrait_7,,1
112,NULL,,NULL
113,marge_retrait_7,,1
113,hauteur_construction,,2
114,distance_limite_separative,,1
114,marge_retrait_7,,2
115,NULL,,NULL
116,NULL,,NULL
117,NULL,,NULL
118,NULL,,NULL
119,NULL,,NULL
12,NULL,,NULL
120,NULL,,NULL
121,distance_construction_meme_propriete,,1
122,distance_construction_meme_propriete,,1
123,distance_construction_meme_propriete,,1
124,distance_construction_meme_propriete,,1
126,NULL,,NULL
127,NULL,,NULL
128,NULL,,NULL
129,NULL,,NULL
13,NULL,,NULL
130,NULL,,NULL
131,NULL,,NULL
132,NULL,,NULL
133,NULL,,NULL
134,NULL,,NULL
135,NULL,,NULL
136,NULL,,NULL
137,NULL,,NULL
138,NULL,,NULL
139,NULL,,NULL
14,NULL,,NULL
140,NULL,,NULL
141,NULL,,NULL
142,NULL,,NULL
143,NULL,,NULL
144,NULL,,NULL
145,NULL,,NULL
146,NULL,,NULL
147,NULL,,NULL
148,NULL,,NULL
149,NULL,,NULL
15,NULL,,NULL
150,NULL,,NULL
151,NULL,,NULL
152,NULL,,NULL
153,NULL,,NULL
154,NULL,,NULL
155,retrait_installations_techniques_en_terrasse,,2
156,NULL,,NULL
157,NULL,,NULL
158,NULL,,NULL
159,NULL,,NULL
16,NULL,,NULL
160,NULL,,NULL
161,hauteur_construction,,1
162,NULL,,NULL
163,NULL,,NULL
164,NULL,,NULL
165,NULL,,NULL
166,NULL,,NULL
167,NULL,,NULL
168,NULL,,NULL
169,NULL,,NULL
17,NULL,,NULL
170,NULL,,NULL
171,NULL,,NULL
172,NULL,,NULL
173,NULL,,NULL
174,NULL,,NULL
175,NULL,,NULL
176,NULL,,NULL
177,NULL,,NULL
178,NULL,,NULL
179,NULL,,NULL
18,NULL,,NULL
180,NULL,,NULL
181,NULL,,NULL
182,NULL,,NULL
183,NULL,,NULL
184,NULL,,NULL
185,NULL,,NULL
186,NULL,,NULL
187,NULL,,NULL
188,NULL,,NULL
189,NULL,,NULL
19,NULL,,NULL
190,NULL,,NULL
191,NULL,,NULL
192,NULL,,NULL
193,etalon_hauteur_cloture,,1
194,NULL,,NULL
195,NULL,,NULL
196,NULL,,NULL
197,NULL,,NULL
198,NULL,,NULL
199,NULL,,NULL
2,NULL,,NULL
20,NULL,,NULL
200,NULL,,NULL
201,NULL,,NULL
202,etalon_hauteur_cloture,,2
203,NULL,,NULL
204,NULL,,NULL
205,NULL,,NULL
206,NULL,,NULL
207,NULL,,NULL
208,NULL,,NULL
209,NULL,,NULL
21,NULL,,NULL
210,NULL,,NULL
211,NULL,,NULL
212,NULL,,NULL
213,NULL,,NULL
214,NULL,,NULL
215,NULL,,NULL
216,NULL,,NULL
217,NULL,,NULL
218,NULL,,NULL
219,NULL,,NULL
22,NULL,,NULL
220,NULL,,NULL
221,NULL,,NULL
222,NULL,,NULL
223,NULL,,NULL
224,NULL,,NULL
225,NULL,,NULL
226,NULL,,NULL
227,NULL,,NULL
228,NULL,,NULL
229,NULL,,NULL
23,NULL,,NULL
230,NULL,,NULL
231,NULL,,NULL
232,NULL,,NULL
233,NULL,,NULL
234,NULL,,NULL
235,NULL,,NULL
236,NULL,,NULL
237,NULL,,NULL
238,NULL,,NULL
239,NULL,,NULL
24,NULL,,NULL
240,NULL,,NULL
241,NULL,,NULL
242,NULL,,NULL
243,NULL,,NULL
244,NULL,,NULL
245,NULL,,NULL
246,NULL,,NULL
247,NULL,,NULL
