id-variable,id-outcome,nom-outcome
102,1,type_1
102,2,type_2
102,3,type_3
102,4,type_4
130,1,logement
130,2,bureau
130,3,commerce
130,4,artisanat
130,5,hebergement_hotelier
130,6,industrie
130,7,entrepot
130,8,construction_agricole
130,9,cinaspic
130,10,ecole
145,1,logement
145,2,bureau
145,3,commerce
145,4,artisanat
145,5,hebergement_hotelier
145,6,industrie
145,7,entrepot
145,8,construction_agricole
145,9,cinaspic
145,10,ecole
146,1,logement
146,2,bureau
146,3,commerce
146,4,artisanat
146,5,hebergement_hotelier
146,6,industrie
146,7,entrepot
146,8,construction_agricole
146,9,cinaspic
146,10,ecole
171,1,souterrain
171,2,facade
200,1,type_1
200,2,type_2
200,3,type_3
200,4,type_4
218,1,classique
218,2,terrasse
218,3,mansart
218,4,plate
278,1,sens_unique
278,2,double_sens
