id-sujet,id-parent-sujet,nom-sujet
1,NULL,construction
2,NULL,travaux_sur_existant
3,NULL,utilisation_brute_sols
4,2,extension
5,2,rehabilitation_renovation
6,2,isolation
7,4,extension_verticale
8,4,amenagement
9,4,veranda
15,5,rehabilitation
16,5,renovation
17,6,isolation_par_exterieur
18,7,surelevation
19,7,excavation
20,8,amenagement_comble
26,3,exploitation_carriere
27,3,depot
28,3,entreprise_cassage_voiture
29,3,exhaussement_affouillement
30,3,terrain_camping_ou_caravaning
31,3,piscine
32,27,depot_ferailles
33,27,depot_materiaux
34,27,depot_vehicules
35,27,depot_combustibles
36,27,depot_dechets
