id-variable,id-parent-variable,id-sujet,id-destination,nom-variable,est-noeud,est-caracteristique,est-variable-reelle,est-variable-booleenne,est-variable-dqr,est-variable-enumeration,est-mimao
101,NULL,0,,terrain,1,0,0,0,0,0,NULL
102,101,0,,type_terrain,0,0,0,0,0,1,0
103,101,0,,superficie_terrain,0,0,1,0,0,0,1
104,101,0,,voies_acces_terrain,1,0,0,0,0,0,NULL
105,104,0,,nombre_voie_acces_terrain,0,0,0,0,1,0,1
106,104,0,,voie_acces_terrain,0,1,0,0,0,0,1
107,106,0,,emprise_voie_acces_terrain,0,0,1,0,0,0,1
108,106,0,,voie_acces_terrain_en_impasse,0,0,0,1,0,0,1
109,106,1,,nombre_logement_desservi,0,0,0,0,1,0,1
110,101,0,,acces_terrain,1,0,0,0,0,0,NULL
111,110,0,,acces_terrain_sous_porche,0,1,0,0,0,0,1
112,111,1,,hauteur_libre_sous_porche,0,0,1,0,0,0,1
113,110,0,,accessible_par_voie_carossable,0,0,0,1,0,0,1
114,110,0,,accessible_par_servitude_passage,0,0,0,1,0,0,1
115,NULL,0,,localisation,1,0,0,0,0,0,NULL
116,115,0,,distance_desserte_transport_en_commun,0,0,1,0,0,0,1
117,101,0,,amenagement_terrain,1,0,0,0,0,0,NULL
118,117,0,,mur_soutenement_sur_rue,0,0,0,1,0,0,1
119,117,0,,cloture,0,1,0,0,0,0,1
120,119,0,,hauteur_cloture,0,0,1,0,0,0,1
121,119,0,,cloture_sur_rue,0,0,0,1,0,0,1
122,119,0,,cloture_sur_autre_limite_separative,0,0,0,1,0,0,1
123,119,0,,hauteur_mur_bahut,0,0,1,0,0,0,1
124,117,0,,portail,0,1,0,0,0,0,1
125,124,0,,hauteur_portail,0,0,1,0,0,0,1
126,117,0,,portillon,0,1,0,0,0,0,1
127,126,0,,hauteur_portillon,0,0,1,0,0,0,1
128,117,0,,pillier,0,1,0,0,0,0,1
129,128,0,,hauteur_pillier,0,0,1,0,0,0,1
130,NULL,2,,destination_construction,0,0,0,0,0,1,0
131,NULL,29,,indispensable_construction_utilisation,0,0,0,1,0,0,1
132,NULL,26,,necessite_autorisation,0,0,0,1,0,0,1
133,NULL,1,,caracteristique_bati,1,0,0,0,0,0,NULL
134,133,1,,nombre_etage,0,0,0,0,1,0,1
135,133,1,,surface_plancher,0,0,1,0,0,0,1
136,133,1,,emprise_au_sol,0,0,1,0,0,0,1
137,133,1,,hauteur_rez_chaussee,0,0,1,0,0,0,1
138,133,1,,hauteur_construction,0,0,1,0,0,0,1
139,133,1,,hauteur_construction_plus_haut,0,0,1,0,0,0,1
140,133,1,,hauteur_construction_egout,0,0,1,0,0,0,1
141,133,1,,hauteur_construction_max_vis_a_vis,0,0,1,0,0,0,1
142,133,2,,surface_plancher_construite,0,0,1,0,0,0,1
143,133,2,,construction_existante_regulierement_edifiee,0,0,0,1,0,0,1
144,NULL,1,,est_annexe,0,0,0,1,0,0,1
145,NULL,15,,ancienne_destination,0,0,0,0,0,1,0
146,NULL,15,,nouvelle_destination,0,0,0,0,0,1,0
147,NULL,1,,date_construction,0,0,0,0,1,0,1
148,NULL,1,,capacite,1,0,0,0,0,0,NULL
149,148,1,1,capacite_logement,1,0,0,0,0,0,NULL
150,149,1,1,nombre_logement,0,0,0,0,1,0,1
151,149,1,1,nombre_logement_1_piece,0,0,0,0,1,0,1
152,149,1,1,nombre_logement_2_piece,0,0,0,0,1,0,1
153,149,1,1,nombre_logement_3_piece,0,0,0,0,1,0,1
154,149,1,1,nombre_logement_4_piece,0,0,0,0,1,0,1
155,149,1,1,nombre_logement_5_piece,0,0,0,0,1,0,1
156,149,4,,nombre_logement_cree,0,0,0,0,1,0,1
157,149,8,,nombre_logement_cree,0,0,0,0,1,0,1
158,149,1,1,taux_logement_locatifs_sociaux,0,0,1,0,0,0,1
159,148,1,9,nombre_personnes_recues,0,0,0,0,1,0,1
160,148,1,2,nombre_chambre,0,0,0,0,1,0,1
161,148,1,,nombre_employe,0,0,0,0,1,0,1
162,148,1,10,nombre_eleve,0,0,0,0,1,0,1
163,133,1,,acces_batiment,1,0,0,0,0,0,NULL
164,163,1,,acces_batiment_dans_marge_retrait_6,0,0,0,1,0,0,1
165,NULL,1,,raccordement_reseaux,1,0,0,0,0,0,NULL
166,165,1,,raccordement_reseau_eau_potable,0,1,0,0,0,0,1
167,165,1,,raccordement_reseau_assainissement,0,1,0,0,0,0,1
168,167,1,,debit_rejet_reseau_assainissement,0,0,1,0,0,0,1
169,167,1,,rejet_infiltration_pretraite,0,0,0,1,0,0,1
170,165,1,,raccordement_reseau_electricite,0,1,0,0,0,0,1
171,170,1,,raccordement_reseau_electricite_methode,0,0,0,0,0,1,0
172,NULL,1,,implantation_6,1,0,0,0,0,0,NULL
173,172,1,,implantation_alignement_6,0,0,0,1,0,0,1
174,172,1,,implantation_retrait_6,0,1,0,0,0,0,1
175,174,1,,distance_axe_voie,0,0,1,0,0,0,0
176,174,1,,distance_alignement,0,0,1,0,0,0,0
177,NULL,0,,voies_emprises_publiques,1,0,0,0,0,0,NULL
178,177,0,,nombre_voies_publiques,0,0,0,0,1,0,1
179,177,0,,nombre_emprises_publiques,0,0,0,0,1,0,1
180,177,0,,voie_publique,0,1,0,0,0,0,1
181,180,0,,largeur_voie_publique,0,0,1,0,0,0,1
182,133,1,,element_architectural,1,0,0,0,0,0,NULL
183,182,1,,saillie,0,1,0,0,0,0,1
184,183,1,,saillie_alignement_6,0,1,0,0,0,0,1
185,184,1,,largeur_voie_publique_pour_saillie_alignement_6,0,0,1,0,0,0,1
186,184,1,,taille_saillie_alignement_6,0,0,1,0,0,0,1
187,184,1,,hauteur_saillie_alignement_6,0,0,1,0,0,0,1
188,183,1,,saillie_marge_retrait_6,0,1,0,0,0,0,1
189,188,1,,taille_saillie_marge_retrait_6,0,0,1,0,0,0,1
190,188,1,,hauteur_saillie_marge_retrait_6,0,0,1,0,0,0,1
191,NULL,17,,isolation_dans_marge_retrait_6,0,1,0,0,0,0,1
192,NULL,17,,isolation_en_saillie_alignement_6,0,1,0,0,0,0,1
193,NULL,1,,implantation_7,1,0,0,0,0,0,NULL
194,193,1,,implantation_sur_limite_7,0,0,0,1,0,0,1
195,193,1,,implantation_retrait_7,0,1,0,0,0,0,1
196,195,1,,implantation_retrait_7_sans_vue,0,0,0,1,0,0,1
197,195,1,,implantation_retrait_7_avec_vue,0,0,0,1,0,0,1
198,195,1,,distance_limite_7,0,0,1,0,0,0,0
199,NULL,17,,isolation_dans_marge_retrait_7,0,1,0,0,0,0,1
200,NULL,31,,type_piscine,0,0,0,0,0,1,0
201,NULL,31,,piscine_est_couverte,0,0,0,1,0,0,1
202,NULL,31,,autorisation_necessaire_piscine,0,1,0,0,0,0,1
203,202,31,,piscine_necessite_permis_construire,0,0,0,1,0,0,1
204,202,31,,piscine_necessite_autorisation_ABF,0,0,0,1,0,0,1
205,202,31,,piscine_necessite_declaration_prealable,0,0,0,1,0,0,1
206,NULL,31,,dimension_piscine,1,0,0,0,0,0,NULL
207,206,31,,surface_piscine,0,0,1,0,0,0,1
208,206,31,,longueur_piscine_1,0,0,1,0,0,0,1
209,206,31,,largeur_piscine_1,0,0,1,0,0,0,1
210,NULL,31,,distance_limite_6,0,0,1,0,0,0,0
211,NULL,31,,distance_limite_7,0,0,1,0,0,0,0
212,NULL,1,,plusieurs_construction_meme_propriete,0,1,0,0,0,0,1
213,212,1,,distance_construction_meme_propriete_avec_vue,0,0,1,0,0,0,1
214,212,1,,distance_construction_meme_propriete_sans_vue,0,0,1,0,0,0,1
215,182,1,,toiture,1,0,0,0,0,0,NULL
216,215,1,,toiture_plate,0,0,0,1,0,0,1
217,215,1,,toiture_a_pente,0,0,0,1,0,0,1
218,215,1,,type_toiture,0,0,0,0,0,1,0
219,215,1,,gabarit_toit,1,0,0,0,0,0,NULL
220,219,1,,hauteur_point_accroche,0,0,1,0,0,0,1
221,219,1,,hauteur_principale,0,0,1,0,0,0,1
222,219,1,,hauteur_secondaire,0,0,1,0,0,0,1
223,219,1,,hauteur_tertiaire,0,0,1,0,0,0,1
224,219,1,,angle_principal,0,0,1,0,0,0,1
225,219,1,,angle_secondaire,0,0,1,0,0,0,1
226,219,1,,angle_tertiaire,0,0,1,0,0,0,1
227,219,1,,profondeur_principale,0,0,1,0,0,0,1
228,219,1,,profondeur_secondaire,0,0,1,0,0,0,1
229,219,1,,profondeur_tertiaire,0,0,1,0,0,0,1
230,NULL,1,,voisinage,1,0,0,0,0,0,NULL
231,230,1,,heberge_voisine_plus_haute,0,0,0,0,0,0,0
232,133,1,,installations_techniques,0,1,0,0,0,0,1
233,232,1,,installations_techniques_en_terrasse,0,1,0,0,0,0,1
234,233,1,,hauteur_installations_techniques_en_terrasse,0,0,1,0,0,0,1
235,233,1,,retrait_installations_techniques_en_terrasse,0,0,1,0,0,0,1
236,232,1,,cheminee,0,1,0,0,0,0,1
237,232,1,,toiture_vegetalisee,0,1,0,0,0,0,1
238,232,1,,systeme_production_energie_renouvelable,0,1,0,0,0,0,1
239,232,1,,panneau_solaire,0,1,0,0,0,0,1
240,232,1,,descente_eaux_pluviales,0,1,0,0,0,0,1
241,232,1,,edicule_gaine_technique,0,1,0,0,0,0,1
242,232,1,,conduit_cheminee,0,1,0,0,0,0,1
243,242,1,,devoiement_conduit_cheminee,0,0,0,1,0,0,1
244,232,1,,antenne,0,1,0,0,0,0,1
245,232,1,,volet_roulant,0,1,0,0,0,0,1
246,246,1,,caisson_volet_roulant_interieur,0,0,0,1,0,0,1
247,232,1,,rampe_parking,0,1,0,0,0,0,1
248,NULL,1,,facade,0,1,0,0,0,0,1
249,248,1,,nombre_baies_facade,0,0,0,0,1,0,1
250,248,1,,au_moins_une_facade_sur_rue,0,0,0,1,0,0,1
251,248,1,,facade_sur_rue,0,1,0,0,0,0,1
252,251,1,,nombre_baies_facade_sur_rue,0,0,0,0,1,0,1
253,NULL,1,4,commerce_sur_plusieurs_immeubles_contigus,0,0,0,1,0,0,1
254,NULL,1,,caracteristiques_stationnement ,1,0,0,0,0,0,NULL
255,254,1,,places_stationnement,0,1,0,0,0,0,1
256,255,1,,nombre_place_stationnement,0,0,0,0,1,0,1
257,255,1,,nombre_place_stationnement_livraison,0,0,0,0,1,0,1
258,255,1,,proportion_places_stationnement_dans_construction,0,0,1,0,0,0,1
259,255,1,,place_stationnement_commandee,0,1,0,0,0,0,1
260,255,1,,nombre_place_stationnement_construite,0,0,0,0,1,0,1
261,255,1,,nombre_place_stationnement_detruite,0,0,0,0,1,0,1
262,254,1,,espace_velo,0,1,0,0,0,0,1
263,262,1,,superficie_espace_velo,0,0,1,0,0,0,1
264,262,1,,espace_velo_unifie,0,0,0,1,0,0,1
265,262,1,,nombre_place_stationnement_velo,0,0,0,0,1,0,1
266,254,1,,aire_stationnement,0,1,0,0,0,0,1
267,266,1,,nombre_emplacement,0,0,0,0,1,0,1
268,266,1,,aire_materialisee_au_sol,0,0,0,1,0,0,1
269,266,1,,emplacement_stationnement,0,1,0,0,0,0,1
