id_txt,txt,loi
1,"<div class=""txt"">Le présent Plan Local d’Urbanisme s'applique à l'ensemble du territoire communal de Sèvres.<br/><br/></div>",NULL
2,"<div class=""txt""> La commune de Sèvres est concernée par trois canalisations sous pression de matières dangereuses, réglementées par un arrêté ministériel en date du 4 août 2006 (voir la fiche d’information et la carte des canalisations de gaz, annexées au PLU).<br/><br/></div>",NULL
3,"<div class=""txt"">Dans la zone d’interdiction reportée sur le document graphique n°1 sont interdits :<ul><li>les constructions et installations nécessaires au fonctionnement du service public ou d’intérêt collectif recevant plus de 100 personnes ;</li><li>les immeubles de grande hauteur.</li></ul><br/></div>",20
4,"<div class=""txt""> Dans la zone intermédiaire reportée sur le document graphique, l’aménageur ou le constructeur de chaque projet devra s’assurer que les conditions de sécurité sont suffisantes au regard des risques présentés. La mise en œuvre de mesures compensatoires destinées à réduire l’emprise de cette zone est à privilégier. Cependant, malgré la mise en place de mesures compensatoires et dans certaines conditions, la construction ou l’extension d’immeubles de grande hauteur ou de constructions et installations nécessaires au fonctionnement du service public ou d’intérêt collectif recevant plus de 100 personnes peut être interdite. La consultation des services de la DRIRE sera effectuée par la collectivité. Dans la zone justifiant une vigilance et une information, le transporteur sera informé de tout projet par la collectivité. <br/><br/></div>",NULL
5,"<div class=""txt""> Afin de prévenir les risques d’endommagement des canalisations de transport, les travaux doivent être conduits dans le respect de la procédure de DT/DICT définie par le Décret modifié n°2011-1241 du 5 octobre 2011. <br/><br/></div>",13
6,"<div class=""txt""> Toutes constructions et installations y compris les clôtures, portails et portillons sont interdites dans les sentes et itinéraires identifiés sur le document graphique n° 2 au titre de l’article L.123-1-5 IV1° du code de l’urbanisme afin d’assurer leur préservation. <br/><br/></div>",NULL
7,"<div class=""txt""> Sous réserve des dispositions du présent règlement, lorsqu'une construction existante n'est pas conforme aux dispositions applicables dans la zone où elle se situe, l'autorisation d'exécuter des travaux ne peut être accordée que pour des travaux qui n'aggravent pas la non-conformité de la construction avec ces dispositions, ou qui sont sans effet à leur égard. <br/><br/></div>",NULL
8,"<div class=""txt""> Le règlement du PLU définit les règles d’occupation du sol. Toutefois, s’appliquent en plus et indépendamment du présent règlement, les articles R. 111-2, R. 111-4, R. 111-15 et R. 111-21 du code de l’urbanisme. </div>",9
9,"<div class=""txt""> Par ailleurs, sont et demeurent applicables sur le territoire communal, les dispositions du code de l’urbanisme suivantes : <ul><li>l’article L. 111-10 relatif aux périmètres de travaux publics ;</li><li>les articles L. 111-9 et L. 421-4 relatifs aux périmètres de déclaration d’utilité publique ;</li><li>l’article L. 421-5 relatif à la réalisation de réseaux ;</li><li>l’article L. 111-1-4 relatif aux routes à grande circulation.</li></ul></div>",NULL
10,"<div class=""txt""> Aux règles énoncées par le présent PLU s’ajoutent : <ul><li>les servitudes d’utilité publique qui font l’objet d’un plan et d’une notice annexés au présent dossier de PLU, notamment le plan de prévention des risques d’inondation (PPRI) et les risques liés à la présence d’anciennes carrières.</li><li>es périmètres de droit de préemption urbain instaurés par délibération du conseil municipal annexée au présent PLU.</li></ul></div>",NULL
11,"<div class=""txt""> Les prescriptions prises au titre des autres législations spécifiques concernant l’occupation ou l’utilisation des sols s’ajoutent aux règles propres au PLU. </div>",NULL
12,"<div class=""txt""> Au titre de la règlementation sur l’archéologie préventive, toute découverte fortuite de vestiges susceptibles de présenter un caractère archéologique doit faire l’objet d’une déclaration immédiate au maire. </div>",NULL
13,"<div class=""txt""> Les dispositifs de réutilisation des eaux pluviales à usage domestique devront être conformes à la règlementation en vigueur (arrêté du 21 août 2008 relatif à la récupération des eaux de pluie et à leur usage à l’intérieur et à l’extérieur des bâtiments). </div>",NULL
14,"<div class=""txt""> Le surplomb du domaine public par des constructions nécessite une autorisation délivrée par l’autorité gestionnaire du domaine public en application des dispositions du code de la voirie routière et de celles du code de la construction et de l’habitation. </div>",NULL
15,"<div class=""txt""> La SNCF doit être consultée pour toutes les demandes de permis de construire ou de permis d’aménager jouxtant la plate-forme ferroviaire. </div>",NULL
16,"<div class=""txt""> Le territoire couvert par le Plan Local d’Urbanisme est divisé en zones urbaines et zones naturelles. <br/><br/></div>",NULL
17,"<div class=""txt""> Les zones urbaines, auxquelles s'appliquent les dispositions du présent règlement, sont repérées sur le document graphique n°1 par un indice commençant par la lettre U. <br/><br/></div>",NULL
18,"<div class=""txt""> Ce sont les zones : <ul><li>UCV : centre-ville ;</li><li>UR : zone résidentielle ;</li><li>UAE : zone à vocation d’activités économiques et d’équipements.</li></ul><br/></div>",NULL
